sector,region,value
R,EE,0.04033
R,EL,0.02038
R,ES,0.02409
R,FI,0.04016
R,FR,0.05424
R,HR,0.05555
R,HU,0.05172
R,IE,0.07483
R,IS,0.00647
R,IT,0.03771
R,LT,0.05632
R,LU,0.07513
R,LV,0.03003
R,MT,0.00147
R,NL,0.09672
R,NO,0.01212
R,PL,0.4035
R,PT,0.05947
R,RO,0.04985
R,SE,0.02704
R,SI,0.09318
R,SK,0.10501
R90-92,AT,0.0304
R90-92,BG,0.00613
R90-92,CZ,0.01721
R90-92,EE,0.03355
R90-92,EL,0.0087
R90-92,FI,0.03064
R90-92,HR,0.04138
R90-92,HU,0.0508
R90-92,IE,0.02524
R90-92,IS,0.00585
R90-92,LU,0.04683
R90-92,MT,0.00095
R90-92,NL,0.06927
R90-92,RO,0.02778
R90-92,SI,0.06743
R90-92,SK,0.10275
R93,AT,0.0746
R93,BG,0.04993
R93,CZ,0.06018
R93,EE,0.05087
R93,EL,0.07968
R93,FI,0.04844
R93,HR,0.08199
R93,HU,0.05323
R93,IE,0.1773
R93,IS,0.00709
R93,LU,0.11543
R93,MT,0.0152
R93,NL,0.15215
R93,RO,0.15006
R93,SI,0.18555
R93,SK,0.1177
S,AT,0.01446
S,BE,0.10693
S,BG,0.01913
S,CY,0.07877
S,CZ,0.0215
S,DE,0.07522
S,DK,0.01565
S,EE,0.13471
S,EL,0.02324
S,ES,0.06277
S,FI,0.03263
S,FR,0.03732
S,HR,0.13216
S,HU,0.06361
S,IE,0.12504
S,IS,0.00508
S,IT,0.02902
S,LT,0.06214
S,LU,0.02725
S,LV,0.03878
S,MT,0.10132
S,NL,0.04905
S,NO,0.01454
S,PL,0.26003
S,PT,0.02665
S,RO,0.12307
S,SE,0.01729
S,SI,0.14702
S,SK,0.1292
S94,AT,0.00721
S94,BG,0.0031
S94,CZ,0.00965
S94,EE,0.07369
S94,EL,0.03857
S94,FI,0.03406
S94,HR,0.04546
S94,HU,0.06093
S94,IE,0.02807
S94,IS,0.00395
S94,LU,0.02523
S94,MT,0.07769
S94,NL,0.05895
S94,RO,0.03037
S94,SI,0.02568
S94,SK,0.4123
S95,AT,0.03131
S95,BG,0.03909
S95,CZ,0.00905
S95,EE,0.09896
S95,EL,0.03459
S95,FI,0.00006
S95,HR,0.76401
S95,HU,0.08114
S95,IE,0.12207
S95,IS,0.01098
S95,LU,0.0617
S95,MT,0.27643
S95,NL,0.03732
S95,RO,0.51049
S95,SI,0.31117
S95,SK,0.01867
S96,AT,0.02239
S96,BG,0.02515
S96,CZ,0.03375
S96,EE,0.21234
S96,EL,0.00454
S96,FI,0.03527
S96,HR,0.06964
S96,HU,0.06199
S96,IE,0.22036
S96,IS,0.00706
S96,LU,0.02741
S96,MT,0.05402
S96,NL,0.03953
S96,RO,0.08404
S96,SI,0.21336
S96,SK,0.01196
T,AT,0
T,BE,0.147
T,CY,0
T,CZ,0
T,DE,0
T,DK,0
T,EE,0
T,EL,0
T,ES,0
T,FI,0.00011
T,FR,0
T,HR,1.92704
T,HU,0.03687
T,IE,0
T,IS,0
T,IT,0.00602
T,LT,0.00828
T,LU,0
T,MT,0
T,NL,0
T,NO,0.04614
T,PL,0
T,PT,0
T,SE,0.00002
T,SI,0
T,SK,0.00966
U,IS,0.09112
